교량명,시군구명,최종안전점검결과,준공후경과년수,시설물종별등급구분,교량시작점위도,교량시작점경도
잠수교,용산구,B,47,1,37.511568,126.998013
장월교,노원구,C,32,3,37.617827,127.056945
안양천교,강서구,C,40,3,37.554427,126.875821
탄천교,강남구,B,37,3,37.51843,127.06687
난지교,마포구,B,30,3,37.575906,126.861259
고덕천교,강동구,B,14,3,37.570474,127.157767
성내천교,송파구,B,12,3,37.523605,127.101436
반포천교,동작구,B,12,3,37.505401,126.978107
오금교,양천구,B,35,2,37.507555,126.874497
목동교,양천구,B,55,2,37.531254,126.886049
개봉철도고가차도교,구로구,B,46,2,37.495447,126.850971
가리봉철도고가교,구로구,D,46,2,37.486033,126.880009
개봉고가차도,구로구,B,11,2,37.494893,126.856296
구로공단 I.C,구로구,B,32,2,37.48551,126.881446
시흥I.C,관악구,B,46,3,37.478881,126.898514
오금교접속교,구로구,B,35,3,37.506095,126.876157
철산교(하류),금천구,B,34,2,37.474688,126.876469
기아대교(하류),금천구,E,14,2,37.438717,126.902675
관악도림교(하류),관악구,B,40,2,37.489623,126.918881
사방교,서초구,B,45,기타,37.485575,126.983311
도림고가차도,영등포구,E,49,2,37.512006,126.89792
노들(남측)고가차도,용산구,B,42,2,37.52267,126.959363
수출의다리고가차도,금천구,E,31,2,37.476126,126.881757
강남터미널고가교,서초구,E,45,2,37.503265,127.00246
관악도림교(상류),관악구,B,52,2,37.489504,126.91892
여의교(하류),영등포구,B,47,2,37.516725,126.92828
철산교(상류),금천구,B,46,2,37.475106,126.877932
영동5교,강남구,B,37,2,37.490692,127.065228
탄천2교,송파구,B,37,2,37.502338,127.071746
삼성교,송파구,B,48,2,37.510105,127.067492
광평교,송파구,B,30,2,37.488859,127.106628
탄천교,송파구,B,38,2,37.493082,127.10012
방이고가교,송파구,B,38,기타,37.505432,127.122428
성내유수지교,송파구,B,37,2,37.525528,127.118015
성내5교,송파구,B,39,기타,37.501401,127.137344
오륜교,송파구,B,37,기타,37.516831,127.131293
대곡교,강남구,B,28,2,37.468243,127.121565
복정2교,송파구,B,29,기타,37.469716,127.124444
장지1교,송파구,B,51,기타,37.476335,127.127025
장지2교,송파구,B,37,기타,37.468142,127.131648
상일2교,강동구,B,15,기타,37.547099,127.173886
고덕교,강동구,B,13,기타,37.563235,127.172551
여의천교,서초구,B,10,기타,37.459096,127.048916
강일육교,강동구,D,22,2,37.557395,127.175449
진형교,종로구,B,17,기타,37.606441,126.969383
세검1교,종로구,B,20,기타,37.600998,126.959584
배오개다리,종로구,B,18,기타,37.568797,126.997948
새벽다리,종로구,B,18,기타,37.569281,127.000198
세운교,종로구,B,18,기타,37.568478,126.995328
나래교,종로구,B,18,기타,37.569615,127.004573
마전교,종로구,B,18,기타,37.56953,127.002063
버들다리,종로구,B,18,기타,37.569599,127.006659
북악스카이웨이2교,종로구,B,53,기타,37.597287,126.970038
북악스카이웨이3교,종로구,B,23,기타,37.592225,126.966088
영도교,종로구,B,18,기타,37.571004,127.019071
다산교,종로구,B,18,기타,37.569742,127.015867
맑은내다리,종로구,B,18,기타,37.569738,127.012474
오간수교,중구,B,18,기타,37.569677,127.009697
길음교,성북구,C,53,기타,37.601918,127.022119
안암2교,성북구,B,58,기타,37.579309,127.024578
보문3교,성북구,B,24,기타,37.585804,127.020699
월곡교,성북구,A,51,기타,37.602537,127.038962
북악스카이웨이4교,성북구,B,53,기타,37.602107,126.99716
화랑교,성북구,B,24,기타,37.602811,127.035635
돈암차도육교,성북구,B,27,기타,37.597897,127.021507
미아구름다리,성북구,B,27,기타,37.597622,127.021988
동선고가차도,성북구,B,27,2,37.594418,127.018983
북악스카이웨이1교,성북구,A,5,기타,37.601151,127.010917
월계2교,노원구,B,45,기타,37.624321,127.049845
제3우이교,도봉구,B,3,기타,37.636746,127.036306
빨래골교,강북구,B,22,기타,37.627696,127.012362
쌍문교,도봉구,B,25,기타,37.64677,127.025283
도봉교,도봉구,B,52,기타,37.680747,127.04551
방학교,도봉구,B,25,기타,37.661591,127.042209
문이교,도봉구,B,28,기타,37.657708,127.014418
도봉제1교,도봉구,B,28,기타,37.679491,127.04972
신도봉교,도봉구,B,37,기타,37.680276,127.047519
모래말다리,도봉구,B,25,기타,37.662173,127.046646
우이교,도봉구,B,55,기타,37.642649,127.030714
묵동교,중랑구,B,17,기타,37.617402,127.07577
노원교,노원구,B,52,2,37.679103,127.050332
녹천교,도봉구,E,35,2,37.645884,127.055103
당현2교,노원구,B,42,기타,37.650152,127.068761
상계교,도봉구,C,44,2,37.661919,127.05057
창동교,노원구,B,35,2,37.652931,127.053595
월계1교,노원구,B,45,2,37.632379,127.062474
월릉교,중랑구,B,46,2,37.615986,127.070468
당현1교,노원구,B,34,기타,37.646317,127.063517
당현3교,노원구,B,34,기타,37.644962,127.060955
화랑고가차도,노원구,E,39,2,37.614341,127.063444
장월1교,성북구,B,24,기타,37.602517,127.037931
장월2교,성북구,B,24,기타,37.602497,127.038226
성북3교,성북구,B,13,기타,37.591409,127.013593
하늘다리,성북구,B,13,기타,37.59033,127.016511
미아리구름다리,성북구,B,27,기타,37.597669,127.021911
당현천4복개구조물,노원구,B,30,2,37.658734,127.071741
관수교,종로구,B,18,기타,37.568276,126.992404
삼일교,중구,B,18,기타,37.568038,126.98763
수색교,마포구,B,21,2,37.58589,126.885651
증산2교,서대문구,B,45,기타,37.584044,126.911003
북한천다리,은평구,C,18,기타,37.658625,126.947251
삼천골다리,은평구,C,18,기타,37.650619,126.936701
홍연2교,서대문구,B,45,기타,37.577701,126.931309
홍연교,서대문구,B,47,기타,37.579855,126.936166
홍제교,서대문구,C,43,기타,37.592122,126.943901
중동교,마포구,C,24,기타,37.575258,126.900936
증산교,서대문구,B,53,기타,37.577184,126.902773
남산육교,중구,C,62,기타,37.557307,126.976417
남산1호입구 iC,중구,B,44,기타,37.559996,126.990029
반딧불이다리,은평구,B,13,기타,37.629802,126.929349
봉원고가차도,서대문구,B,53,2,37.563995,126.944952
삼각지고가차도,용산구,B,49,2,37.5376,126.967714
서소문고가차도,서대문구,D,57,2,37.560703,126.966029
수색교(구교),마포구,B,26,기타,37.585912,126.885722
염천교,중구,B,45,기타,37.55952,126.970214
은평지문,은평구,C,12,기타,37.643893,126.914994
잠두봉 고가,마포구,B,23,기타,37.545861,126.909408
성산고가차도,마포구,B,37,2,37.569405,126.904594
소월고가차도,용산구,B,46,2,37.544128,127.002048
욱천고가차도,용산구,B,44,2,37.533791,126.966765
한강로다리,용산구,B,43,기타,37.522668,126.962275
한남2고가차도,용산구,B,47,2,37.535102,127.006393
현저고가차도,서대문구,C,44,2,37.571143,126.956419
안암교,동대문구,B,58,기타,37.576902,127.027556
제2마장교,성동구,E,33,2,37.568153,127.046057
군자교,동대문구,B,37,2,37.55955,127.073159
성동교,성동구,B,44,2,37.551772,127.044058
전농교,동대문구,B,48,기타,37.563988,127.056535
동진교,동대문구,B,52,기타,37.573941,127.027966
제1제기교,동대문구,B,53,기타,37.586564,127.03614
제2제기교,동대문구,B,56,기타,37.588404,127.03714
종암교,동대문구,B,56,기타,37.591286,127.038512
먹골교,중랑구,B,18,기타,37.620019,127.085302
중랑교,동대문구,B,52,2,37.592151,127.069138
장평교,광진구,B,38,2,37.571955,127.077065
청량제1고가차도,동대문구,B,56,기타,37.587973,127.054528
청량제2고가차도,동대문구,B,19,기타,37.585537,127.05182
행당고가차도,성동구,B,14,기타,37.558026,127.039417
이문고가교,동대문구,B,44,2,37.599396,127.067695
영동대교북단고가교,성동구,E,27,2,37.53465,127.059796
살곶이화해교,성동구,B,6,기타,37.553898,127.045512
정릉천교,동대문구,B,18,기타,37.572171,127.035151
성동교(신교),성동구,B,20,2,37.554177,127.04365
장안교(신교),중랑구,E,17,2,37.580357,127.076276
장안교(하행),중랑구,E,6,2,37.580373,127.076126
동빙고다리,용산구,B,28,2,37.520231,126.996332
두모교,용산구,B,28,1,37.518828,126.992973
반포북단교,용산구,B,41,2,37.519814,126.994895
서빙고고가차도(구),용산구,B,53,1,37.524198,127.001951
서빙고다리,용산구,B,27,3,37.516306,126.986217
새남터다리,용산구,B,27,3,37.525144,126.953913
뚝도1교,성동구,B,31,2,37.551394,127.040684
뚝도2교,성동구,B,31,2,37.550955,127.039917
군자하단IC교,성동구,E,29,2,37.557984,127.068459
송정교,성동구,B,31,2,37.553112,127.066385
아차산대교(상행),광진구,B,20,1,37.545501,127.109099
자양고가교,광진구,B,20,1,37.527417,127.085804
중랑상단IC교,중랑구,B,32,2,37.595846,127.070634
군자상단IC교,광진구,E,29,2,37.56318,127.075257
중랑하단IC교,중랑구,B,32,2,37.589512,127.069993
면목천교,중랑구,B,32,3,37.576463,127.078955
묵동천교,중랑구,B,32,2,37.615043,127.072307
신내1교,중랑구,B,30,3,37.615859,127.102539
월릉IC화랑로연결램프,중랑구,B,21,2,37.615169,127.072769
돌곶이교,성북구,E,32,2,37.61285,127.070635
월릉하단IC교,중랑구,B,32,2,37.611361,127.070455
북부고가교,성북구,B,24,1,37.602445,127.037478
공대천교,노원구,B,32,3,37.62459,127.0703
월릉상단IC교,노원구,B,32,2,37.619927,127.071972
당현4교,노원구,B,43,3,37.638487,127.059176
수락고가교,노원구,B,29,2,37.676767,127.051005
망원1교,마포구,B,46,2,37.559458,126.894143
망원2교,마포구,B,46,2,37.558903,126.893145
망원3교,마포구,B,29,2,37.559029,126.892814
망원4교,마포구,B,26,2,37.558898,126.892775
망원5교,마포구,B,26,1,37.558776,126.892656
홍제천고가교(강변3공구),마포구,B,26,1,37.561668,126.897241
염창IC교,영등포구,B,35,1,37.550354,126.87801
염창교,강서구,C,30,2,37.552679,126.878561
노량대교,동작구,B,30,1,37.515441,126.952094
동작교,동작구,B,26,3,37.504272,126.978741
내곡IC,서초구,B,27,2,37.45793,127.075646
동작2교,동작구,B,38,2,37.50461,126.978223
반포대교통과교,서초구,B,30,3,37.517925,126.991737
신동작2교,동작구,B,30,2,37.504651,126.97822
서초3교,서초구,B,28,3,37.487684,127.024429
서초교,서초구,B,28,3,37.501723,127.01909
양재천교,서초구,B,28,3,37.471408,127.032422
신사1고가,서초구,B,18,3,37.520169,127.017746
신사2고가,서초구,B,18,3,37.515085,127.015519
탄천2고가교,강남구,E,24,1,37.520662,127.064152
탄천1고가교,송파구,E,26,1,37.484784,127.109344
한남대교남단2교,강남구,E,24,2,37.524631,127.016731
청담1교,강남구,B,48,2,37.518505,127.065402
잠원고가교,서초구,B,18,1,37.523095,127.014548
신천1교,송파구,B,43,2,37.523448,127.10259
상행1교,송파구,B,38,3,37.517806,127.091262
상행2교,송파구,B,38,3,37.521083,127.098629
하행3교,송파구,B,37,3,37.521657,127.098753
하행4교,송파구,B,37,3,37.518239,127.091659
청담2교,강남구,B,38,1,37.518485,127.069901
상행3교,송파구,B,38,3,37.538584,127.115431
하행2교,송파구,B,38,기타,37.539074,127.115579
상행4교,강동구,B,38,기타,37.544611,127.121084
하행1교,강동구,B,38,3,37.544985,127.120598
고덕천교,강동구,B,32,3,37.570144,127.158154
영동대교북단E램프교,성동구,B,16,1,37.535038,127.059028
두모교접속교,용산구,B,18,3,37.519681,126.994386
한남대교남단1교,서초구,E,22,2,37.521938,127.013563
테크노차도육교,광진구,B,20,3,37.535681,127.097125
잠실대교북단램프D교,광진구,B,20,3,37.529164,127.08955
영동대교북단램프D교,광진구,B,16,3,37.533037,127.060408
잠실대교북단램프C교,광진구,B,20,3,37.528393,127.086686
반포고가,서초구,B,18,3,37.508564,127.016422
개화램프A교,강서구,B,10,2,37.590054,126.806069
개화램프D교,강서구,B,10,1,37.592696,126.800114
행주3교,강서구,B,10,1,37.593337,126.802767
양화대교북단램프교(F-1),마포구,B,26,3,37.548216,126.907294
양화대교북단램프교(F-2),마포구,B,26,3,37.545978,126.909331
성산대교북단램프교(C-1),마포구,B,26,3,37.558835,126.893404
성산대교북단램프교(C-2),마포구,B,26,3,37.557138,126.894452
한남입체시설램프A,강남구,B,28,3,37.519396,127.018014
천호대교 북단U턴차로교,광진구,B,20,3,37.540832,127.103825
아차산대교(하행),광진구,B,20,1,37.547712,127.110347
Ramp-A교,송파구,B,4,1,37.476786,127.120708
Ramp-B교,송파구,B,4,1,37.480036,127.116239
국민대입구 램프,성북구,B,16,2,37.60868,126.999632
국민대입구진입램프,성북구,B,6,2,37.60881,126.998508
독산1교,금천구,B,25,3,37.458724,126.891742
독산2교,금천구,B,25,2,37.459878,126.890859
상촌고가차도,서초구,B,28,3,37.468267,127.035391
서빙고고가차도(신),용산구,B,7,1,37.522312,127.000727
호암대교,금천구,C,7,1,37.437544,126.895586
호암대교 UP RAMP교,금천구,C,7,1,37.434912,126.898906
여의중류램프교,영등포구,B,4,1,37.517254,126.921464
정릉천고가도로(1공구),성동구,B,25,1,37.57245,127.035808
정릉천고가도로(2공구),성북구,B,24,1,37.602525,127.036431
홍제천고가교(북부1공구),서대문구,B,28,1,37.589567,126.937769
홍제천고가교(북부2공구),서대문구,B,24,1,37.595889,126.95628
동부간선진입교,노원구,B,3,2,37.652869,127.055043
우면산고가교,서초구,B,7,1,37.460169,127.02834
여의천교,서초구,B,10,기타,37.453912,127.04927
신정교접속교,영등포구,B,28,기타,37.516293,126.881813
역곡천교,구로구,B,11,기타,37.479152,126.821685
선유교,영등포구,B,21,기타,37.543935,126.8974
행주IC교,강서구,B,23,기타,37.592024,126.803733
금호고가,성동구,B,11,기타,37.544745,127.024602
여의상류ICBOX,동작구,B,46,기타,37.515462,126.938087
여의상류샛강IC2교,영등포구,B,13,기타,37.517016,126.942017
안양교,구로구,C,46,기타,37.491986,126.872316
영동6교,강남구,B,38,1,37.492891,127.071893
반포대교,용산구,B,41,1,37.51001,126.998721
원효대교,용산구,B,42,1,37.522204,126.936693
한남대교(하류),용산구,B,22,1,37.523629,127.016453
한남대교(상류),용산구,B,18,1,37.530096,127.009909
한강대교(구교),용산구,E,86,1,37.513806,126.956433
한강대교(신교),용산구,E,41,1,37.513959,126.956111
성수대교,성동구,B,26,1,37.532163,127.034207
동호대교,성동구,B,39,1,37.532235,127.023885
올림픽대교,광진구,B,33,1,37.528006,127.11052
잠실철교(도로교),광진구,B,44,1,37.52322,127.102362
비우당교,성동구,B,18,1,37.570602,127.026554
구룡교,마포구,B,21,1,37.579789,126.875373
신정교,구로구,E,33,1,37.517926,126.875046
가양대교,강서구,B,21,1,37.574673,126.864941
양평교,영등포구,B,32,1,37.539738,126.890198
광진교,광진구,B,18,1,37.542548,127.120272
광명고가교,구로구,E,25,1,37.49134,126.86945
행주대교(상류교),강서구,E,23,1,37.592298,126.804567
행주대교(하류교),강서구,B,28,1,37.603594,126.814639
한남1고가도로교,용산구,B,32,1,37.53947,127.004031
보라매고가도로교,관악구,E,29,1,37.485496,126.900512
사당고가도로교,서초구,B,26,1,37.476648,126.980261
이수고가도로교,서초구,B,22,1,37.500656,126.983726
두무개다리고가도로교,용산구,B,20,1,37.530619,127.011133
모래내고가교,마포구,C,44,1,37.566277,126.914955
오류고가도로교,구로구,B,24,1,37.493959,126.831137
영등포역고가도로교,영등포구,E,27,1,37.516834,126.901912
구리암사대교,강동구,B,7,1,37.564925,127.13555
겸재교,중랑구,B,6,1,37.585024,127.072394
메뚜기다리,은평구,B,15,1,37.62899,126.929704
서해안로 연결램프교,구로구,E,11,1,37.496118,126.850277
암사 IC Ramp-G,강동구,A,7,1,37.567325,127.133362
암사IC Ramp-A,강동구,A,7,2,37.565492,127.134918
암사IC Ramp-D,강동구,B,7,1,37.567323,127.133373
암사IC Ramp-E,강동구,B,7,2,37.565756,127.134273
월드컵대교(접속교),마포구,B,21,1,37.562627,126.888958
응봉교,성동구,B,7,1,37.551373,127.035303
사당IC교(성산방향),서초구,B,7,1,37.470461,126.989283
사당IC교(수서방향),서초구,B,7,1,37.469611,126.982795
선암교(성산방향),서초구,B,7,1,37.4606,127.023623
선암교(수서방향),서초구,B,7,1,37.4606,127.023657
선암고가교,서초구,B,20,1,37.459519,127.020599
동부간선진출램프교,강남구,B,13,1,37.4851,127.108946
진입로C,양천구,B,30,기타,37.509527,126.861631
신정양천 정문 진입로,양천구,B,30,2,37.510542,126.867095
신정양천 중문 진입로,양천구,B,30,2,37.509491,126.865073
신정양천 후문진입로,양천구,B,30,2,37.511897,126.863926
탄천우안 진출램프,송파구,B,6,1,37.484082,127.113456
이촌고가차도,용산구,E,52,2,37.525649,126.956768
용답교,성동구,C,51,3,37.422023,127.159565
살곶이다리,성동구,B,30,3,37.552593,127.047205
안감교,동대문구,B,58,3,37.578363,127.026677
청량리역구내민자역사고가도로 A Line,동대문구,B,13,2,37.581174,127.047102
청량리역구내민자역사고가도로 B Line,동대문구,B,13,2,37.58112,127.047125
배봉차도육교,동대문구,B,20,3,37.578339,127.063527
번창교,강북구,C,29,3,37.642199,127.031547
벌리교,강북구,A,5,기타,37.628378,127.045076
신창교,강북구,B,44,3,37.633009,127.038932
제2우이교,강북구,C,52,3,37.640464,127.033158
우이령교,강북구,A,6,기타,37.664655,127.011603
백운천인도교,강북구,A,2,기타,37.663243,127.00939
누원1교,도봉구,B,18,기타,37.68052,127.044639
무수교,도봉구,C,43,기타,37.678425,127.040431
상도교,도봉구,B,14,기타,37.686241,127.050734
서원내다리,도봉구,B,24,기타,37.686339,127.041055
제1무수교,도봉구,B,27,기타,37.677794,127.035941
모래말본교,도봉구,B,18,기타,37.662021,127.04462
방학725앞교,도봉구,B,12,기타,37.660824,127.050708
근화교,도봉구,B,21,기타,37.651721,127.014454
백운교,도봉구,B,18,기타,37.655541,127.014171
쌍수교,도봉구,B,5,기타,37.654496,127.014321
어울교,도봉구,B,22,기타,37.660933,127.03638
우이천교,도봉구,B,17,기타,37.658156,127.014532
누원교,도봉구,B,67,기타,37.679819,127.043564
수원교,도봉구,B,53,기타,37.68291,127.043453
만세교,도봉구,B,21,기타,37.677058,127.029703
세일교,도봉구,B,21,기타,37.676485,127.032108
제2무수교,도봉구,B,20,기타,37.679023,127.042341
쌍우교,도봉구,B,20,기타,37.649583,127.014669
제일시장앞교,도봉구,B,24,기타,37.661672,127.037752
석천교,도봉구,A,16,기타,37.661278,127.014597
모래말1교,도봉구,B,21,기타,37.661289,127.048887
쌍문동709앞교,도봉구,B,43,기타,37.661685,127.039185
제3무수교,도봉구,B,13,기타,37.678352,127.037411
쌍문294교,도봉구,B,8,기타,37.660582,127.035703
쌍문707교,도봉구,B,11,기타,37.661644,127.040908
모래말2교,도봉구,B,11,기타,37.662097,127.04492
창번2교,도봉구,B,20,기타,37.638432,127.034024
방학동674-35 인도교,도봉구,A,11,기타,37.661707,127.038517
방학동675-20인도교,도봉구,A,5,기타,37.661666,127.039953
창번교,도봉구,B,26,기타,37.636192,127.037971
초안교,도봉구,A,22,3,37.630886,127.041622
노원마을교,노원구,B,14,1,37.684744,127.054576
지축교,은평구,C,30,기타,37.645213,126.921216
신흥상가교,은평구,B,37,기타,37.595623,126.915607
홍은대교,서대문구,B,41,3,37.597419,126.946779
홍제3교,서대문구,B,53,3,37.587962,126.936292
금화터널입구고가교,서대문구,A,44,기타,37.568237,126.94784
증가로차도육교,서대문구,B,53,3,37.573225,126.928036
와우고가교,마포구,B,57,기타,37.555386,126.930557
와우교(고가차도),마포구,B,57,3,37.5554,126.930576
상오정교,강서구,B,33,기타,37.537942,126.797176
구로2교,영등포구,B,44,기타,37.491815,126.895075
신도림교,영등포구,B,37,기타,37.507252,126.893364
신도림1교,구로구,B,12,기타,37.509408,126.891562
금천과선교,금천구,B,27,3,37.46166,126.890721
고구동산교,동작구,B,16,3,37.509132,126.953482
흑석유수지고가교,동작구,C,42,3,37.508195,126.963239
사평로~신반포로 연결 교량반포천2교,서초구,E,14,2,37.501765,126.995702
영동4교,강남구,B,41,2,37.48704,127.056645
대왕교,강남구,B,22,2,37.4669,127.122077
휘여울소교,강남구,A,10,기타,37.465497,127.095122
실여울교,강남구,A,10,기타,37.466119,127.099406
성내7교,송파구,C,39,3,37.505533,127.137004
마천교,송파구,B,27,3,37.499994,127.146027
금천고가교,금천구,B,25,1,37.441936,126.899675
원지2교(부산0),서초구,B,31,기타,37.441914,127.059142
원지2교(부산1),서초구,B,8,기타,37.441914,127.059142
원지2교(서울0),서초구,B,31,기타,37.441914,127.059142
원지2교(서울1),서초구,B,8,기타,37.441914,127.059142
원지1교(부산0),서초구,B,31,기타,37.456747,127.046344
원지1교(부산1),서초구,B,8,기타,37.456747,127.046344
원지1교(서울),서초구,B,31,기타,37.456747,127.046344
양재육교(부산),서초구,B,28,3,37.463249,127.040142
양재육교(서울),서초구,B,28,3,37.463249,127.040142
중랑IC3교,중랑구,A,6,기타,37.577292,127.14088
송파IC교(구리),송파구,C,32,1,37.470399,127.125191
송파IC교(판교0),송파구,C,32,1,37.470399,127.125191
송파IC교(판교1),송파구,B,21,1,37.470399,127.125191
송파IC1교,송파구,B,21,3,37.470399,127.125191
송파IC2교(구리),송파구,B,32,3,37.477105,127.132244
송파IC2교(판교0),송파구,B,32,3,37.477105,127.132244
송파IC2교(판교1),송파구,B,21,3,37.477105,127.132244
송파IC3교,송파구,B,2,1,37.477105,127.132244
사자교(구리0),송파구,B,32,3,37.485344,127.13598
사자교(구리1),송파구,B,21,3,37.485344,127.13598
사자교(판교0),송파구,B,32,3,37.485344,127.13598
사자교(판교1),송파구,B,21,3,37.485344,127.13598
거여고가교(구리0),송파구,C,32,1,37.502363,127.143191
거여고가교(구리1),송파구,C,32,1,37.502363,127.143191
거여고가교(판교),송파구,C,21,1,37.502363,127.143191
상일IC3교,강동구,B,36,3,37.550227,127.17893
상일IC1교,강동구,B,22,기타,37.550227,127.17893
상일IC2교,강동구,B,22,기타,37.550227,127.17893
상일IC교(구리),강동구,B,22,1,37.550227,127.17893
상일IC교(판교),강동구,B,22,1,37.550227,127.17893
상일IC7교,강동구,B,36,3,37.550227,127.17893
상일IC6교,강동구,B,22,기타,37.550227,127.17893
강일교(구리0),강동구,B,36,3,37.566883,127.170658
강일교(구리1),강동구,B,22,3,37.566883,127.170658
강일교(판교0),강동구,B,36,3,37.566883,127.170658
강일교(판교1),강동구,B,22,3,37.566883,127.170658
강동대교(구리0),강동구,C,32,1,37.574329,127.164315
강동대교(구리1),강동구,C,32,1,37.574329,127.164315
강동대교(판교),강동구,B,21,1,37.574329,127.164315
강일IC1교,강동구,B,14,3,37.574329,127.164315
강일IC2교,강동구,B,21,2,37.574329,127.164315
강일IC3교,강동구,B,32,2,37.574329,127.164315
강일IC4교,강동구,B,21,2,37.574329,127.164315
사자교(구리2),송파구,A,2,기타,37.481143,127.135353
송파IC4교,송파구,A,2,1,37.477076,127.132077
송파IC5교,송파구,A,2,1,37.477053,127.132043
송파IC6교,송파구,A,2,1,37.477026,127.132031
송파IC7교,송파구,A,2,1,37.477026,127.13202
김포공항IC램프교,강서구,B,23,3,37.582063,126.797773
개화육교(상행선),강서구,B,23,1,37.584772,126.795581
개화교,강서구,B,23,2,37.585699,126.808108
덕릉교(일산),노원구,B,17,1,37.675861,127.088412
덕릉교(퇴계원),노원구,B,17,1,37.675551,127.088112
세곡교(서울),강남구,B,14,1,37.463952,127.093194
헌릉IC1교,서초구,B,14,1,37.463026,127.089828
헌릉IC2교,서초구,A,14,3,37.463765,127.089111
헌릉IC3교,강남구,A,14,3,37.464056,127.090978
세곡교(용인),강남구,B,14,1,37.463823,127.092881
중랑IC1교,중랑구,B,6,1,37.578649,127.129926
중랑IC2교,중랑구,B,6,1,37.590105,127.115069
중랑IC교(구리),중랑구,B,6,1,37.608122,127.114831
중랑IC교(포천),중랑구,B,6,1,37.608122,127.114831
국내선 고가도로 램프구간,강서구,B,42,3,37.567065,126.803519
"국제선 제1고가도로(1,3,4) 램프구간",강서구,B,35,3,37.571303,126.803425
"국제선 제2고가도로(2,5,6,) 램프구간",강서구,B,12,3,37.56584,126.80434
구중교,송파구,B,38,3,37.523978,127.117163
무지개다리,송파구,B,37,3,37.52518,127.123654
청룡교,송파구,B,37,3,37.522898,127.127324
공대교량,관악구,B,49,3,37.456052,126.94955
